year,globalterrorism,abbr,femadec,state,terroristattack,bioguide,end_last_term,first,last,religion,unafilated,other,jew,mormon,othodoxchristain,protestantdemonation,catholic,aa,hisp,id,icpsr,thomas,govtrack,cong,gender,type,start,end,district,class,party,dw1,comc,comr,leadcham,simpleparty,dwisest,manualcorrection,scomc,scomr,race2,pres2,ideology2,church2,prayer2,unemploy
2010,4805,HI,1,Hawaii,0,A000069,1/3/13,Daniel,Akaka,Congregationalist,,,,,,1,,0,0,10277,14400,7,300001,111,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.453,1,0,0,D,NULL,NULL,1,0,0.4883721,2.622093,3.267442,4.331395,3.761628,7
2012,8481,HI,2,Hawaii,0,A000069,1/3/13,Daniel,Akaka,Congregationalist,,,,,,1,,0,0,10275,14400,7,300001,112,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.458,1,0,0,D,NULL,NULL,1,0,0.4946809,2.484043,3.340425,4.395722,3.84492,6
2006,2743,HI,7,Hawaii,0,A000069,1/3/13,Daniel,Akaka,Congregationalist,,,,,,1,,0,0,10274,14400,7,300001,109,M,sen,1/3/01,12/9/06,0,1,Democrat,-0.442,0,1,0,D,NULL,NULL,0,1,0.5051546,3.051546,3.041667,2.969072,2.863158,2.7
2008,4785,HI,3,Hawaii,0,A000069,1/3/13,Daniel,Akaka,Congregationalist,,,,,,1,,0,0,10276,14400,7,300001,110,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.447,1,0,0,D,NULL,NULL,1,0,0.4673913,3.141304,3.26087,4.315217,4.728261,4.2
2012,8481,TN,10,Tennessee,0,A000360,1/3/21,Lamar,Alexander,Presbyterian,,,,,,1,,0,0,146,40304,1695,300002,112,M,sen,1/6/09,1/3/15,0,2,Republican,0.294,0,1,0,R,NULL,NULL,0,1,0.8037915,2.872986,3.643264,3.57075,2.816714,7.8
2008,4785,TN,19,Tennessee,2,A000360,1/3/21,Lamar,Alexander,Presbyterian,,,,,,1,,0,0,145,40304,1695,300002,110,M,sen,1/7/03,1/3/09,0,2,Republican,0.323,0,0,0,R,NULL,NULL,0,0,0.8774885,3.065951,3.689127,3.242703,2.956857,6.6
2010,4805,TN,59,Tennessee,0,A000360,1/3/21,Lamar,Alexander,Presbyterian,,,,,,1,,0,0,147,40304,1695,300002,111,M,sen,1/6/09,1/3/15,0,2,Republican,0.309,0,0,0,R,NULL,NULL,0,0,0.811789,3.039297,3.675284,3.301965,2.571872,9.4
2006,2743,TN,15,Tennessee,0,A000360,1/3/21,Lamar,Alexander,Presbyterian,,,,,,1,,0,0,144,40304,1695,300002,109,M,sen,1/7/03,1/3/09,0,2,Republican,0.337,0,0,0,R,NULL,NULL,0,0,0.8338235,2.876106,3.435045,2.486726,2.376855,5.2
2014,16834,TN,33,Tennessee,0,A000360,1/3/21,Lamar,Alexander,Presbyterian,,,,,,1,,0,0,10994,40304,1695,300002,113,M,sen,1/6/09,1/3/15,0,2,Republican,0.294,0,0,0,R,1,NULL,0,1,0.7664165,3.007505,3.551174,3.62312,2.920038,6.6
2008,4785,CO,5,Colorado,0,A000109,1/3/09,Wayne,Allard,Protestant,,,,,,1,,0,0,8283,29108,11,300003,110,M,sen,1/7/03,1/3/09,0,2,Republican,0.612,0,0,0,R,NULL,NULL,0,0,0.8245283,3.183365,3.303774,3.896226,3.394687,4.8
2006,2743,CO,4,Colorado,0,A000109,1/3/09,Wayne,Allard,Protestant,,,,,,1,,0,0,8282,29108,11,300003,109,M,sen,1/7/03,1/3/09,0,2,Republican,0.608,0,0,0,R,NULL,NULL,0,0,0.7232,3,3.169657,2.980645,2.953301,4.2
2006,2743,VA,43,Virginia,0,A000121,1/3/07,George,Allen,Presbyterian,,,,,,1,,0,0,7796,29148,13,300004,109,M,sen,1/3/01,12/9/06,0,1,Republican,0.397,0,0,0,R,NULL,NULL,0,0,0.7441341,2.920493,3.245064,2.763842,2.725534,3.1
2014,16834,NH,0,New Hampshire,0,A000368,1/3/17,Kelly,Ayotte,Catholic,,,,,,,1,0,0,11030,41106,2075,412493,113,F,sen,1/5/11,1/3/17,0,3,Republican,0.48,0,0,0,R,1,NULL,0,1,0.8910257,3.012903,3.269231,4.641026,4.581994,4.2
2012,8481,NH,17,New Hampshire,0,A000368,1/3/17,Kelly,Ayotte,Catholic,,,,,,,1,0,0,439,41106,2075,412493,112,F,sen,1/5/11,1/3/17,0,3,Republican,0.48,0,0,0,R,NULL,NULL,0,0,0.9378378,2.808108,3.456757,4.556757,4.008108,5.6
2014,16834,WI,0,Wisconsin,0,B001230,1/3/19,Tammy,Baldwin,Unafilated,1,,,,,,,0,0,11033,29940,1558,400013,113,F,sen,1/3/13,1/3/19,0,1,Democrat,-0.554,0,0,0,D,1,NULL,NULL,NULL,0.8800329,2.916804,3.389803,4.160362,3.771194,5.6
2010,4805,WY,3,Wyoming,0,B001261,1/3/19,John,Barrasso,Presbyterian,,,,,,1,,0,0,132,40707,1881,412251,111,M,sen,6/25/07,1/3/13,0,1,Republican,0.583,0,1,0,R,NULL,NULL,0,1,0.9130435,2.967391,3.48913,3.793478,3.152174,6.6
2014,16834,WY,0,Wyoming,0,B001261,1/3/19,John,Barrasso,Presbyterian,,,,,,1,,0,0,10992,40707,1881,412251,113,M,sen,1/3/13,1/3/19,0,1,Republican,0.583,0,0,0,R,1,NULL,0,1,0.9285714,3.397959,3.795918,3.887755,3.346939,4.4
2008,4785,WY,0,Wyoming,0,B001261,1/3/19,John,Barrasso,Presbyterian,,,,,,1,,0,0,131,40707,1881,412251,110,M,sen,6/25/07,1/3/13,0,1,Republican,0.583,0,0,0,R,NULL,NULL,0,0,0.9508197,2.95082,3.754098,4.1,3.393443,2.9
2012,8481,WY,5,Wyoming,0,B001261,1/3/19,John,Barrasso,Presbyterian,,,,,,1,,0,0,130,40707,1881,412251,112,M,sen,6/25/07,1/3/13,0,1,Republican,0.583,0,1,0,R,NULL,NULL,0,1,0.8794326,3.099291,3.680851,3.985816,3.248227,5.5
2010,4805,MT,3,Montana,0,B000243,2/6/14,Max,Baucus,United Church of Christ,,,,,,1,,0,0,166,14203,66,300005,111,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.194,1,0,0,D,NULL,NULL,1,0,0.9038461,3.038461,3.51282,3.690323,3.089744,7.7
2014,16834,MT,21,Montana,0,B000243,2/6/14,Max,Baucus,United Church of Christ,,,,,,1,,0,0,10995,14203,66,300005,113,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.186,0,0,0,D,1,NULL,1,0,0.9114583,3.09375,3.375,4.072917,3.546875,4.6
2006,2743,MT,4,Montana,0,B000243,2/6/14,Max,Baucus,United Church of Christ,,,,,,1,,0,0,163,14203,66,300005,109,M,sen,1/7/03,1/3/09,0,2,Democrat,-0.208,0,1,0,D,NULL,NULL,0,1,0.852349,2.691275,3.391892,2.919463,2.714286,3.6
2012,8481,MT,7,Montana,0,B000243,2/6/14,Max,Baucus,United Church of Christ,,,,,,1,,0,0,165,14203,66,300005,112,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.186,1,0,0,D,NULL,NULL,1,0,0.9352227,2.910569,3.489879,4.126016,3.378049,6.1
2008,4785,MT,4,Montana,0,B000243,2/6/14,Max,Baucus,United Church of Christ,,,,,,1,,0,0,164,14203,66,300005,110,M,sen,1/7/03,1/3/09,0,2,Democrat,-0.201,1,0,0,D,NULL,NULL,1,0,0.9210526,3.010526,3.615789,3.657895,3.296296,5.2
2006,2743,IN,3,Indiana,0,B001233,1/3/11,Evan,Bayh,Episcopalian,,,,,,1,,0,0,8622,49901,1572,300006,109,M,sen,1/4/05,12/22/10,0,3,Democrat,-0.189,0,0,0,D,NULL,NULL,0,0,0.852809,2.860518,3.366474,2.630385,2.578231,5
2010,4805,IN,0,Indiana,0,B001233,1/3/11,Evan,Bayh,Episcopalian,,,,,,1,,0,0,8624,49901,1572,300006,111,M,sen,1/4/05,12/22/10,0,3,Democrat,-0.11,0,0,0,D,NULL,NULL,0,0,0.8265139,2.957377,3.661211,3.60802,2.967267,10.6
2008,4785,IN,109,Indiana,0,B001233,1/3/11,Evan,Bayh,Episcopalian,,,,,,1,,0,0,8623,49901,1572,300006,110,M,sen,1/4/05,12/22/10,0,3,Democrat,-0.149,0,0,0,D,NULL,NULL,0,0,0.905303,3.112658,3.544192,3.498104,2.911765,6
2012,8481,AK,6,Alaska,0,B001265,1/3/15,Mark,Begich,Catholic,,,,,,,1,0,0,167,40900,1898,412326,112,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.278,0,0,0,D,NULL,NULL,0,0,0.7421875,2.929688,3.4375,4.102362,3.708661,7.4
2010,4805,AK,0,Alaska,0,B001265,1/3/15,Mark,Begich,Catholic,,,,,,,1,0,0,168,40900,1898,412326,111,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.278,0,0,0,D,NULL,NULL,NULL,NULL,0.8014706,3.118519,3.602941,4.058824,3.367647,8
2014,16834,AK,5,Alaska,0,B001265,1/3/15,Mark,Begich,Catholic,,,,,,,1,0,0,10996,40900,1898,412326,113,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.278,0,0,0,D,1,NULL,1,0,0.78125,3.03125,3.4,4.125,3.802083,7.1
2014,16834,CO,0,Colorado,0,B001267,1/3/23,Michael,Bennet,Unafilated,1,,,,,,,0,0,11040,40910,1965,412330,113,M,sen,1/5/11,1/3/17,0,3,Democrat,-0.248,0,0,0,D,1,NULL,1,0,0.833,2.989,3.333,4.299599,3.776553,4.9
2012,8481,CO,7,Colorado,0,B001267,1/3/23,Michael,Bennet,Unafilated,1,,,,,,,0,0,492,40910,1965,412330,112,M,sen,1/5/11,1/3/17,0,3,Democrat,-0.248,0,0,0,D,NULL,NULL,NULL,NULL,0.7985758,2.801223,3.352342,4.147508,3.575356,8.1
2010,4805,CO,2,Colorado,1,B001267,1/3/23,Michael,Bennet,Unafilated,1,,,,,,,0,0,491,40910,1965,412330,111,M,sen,1/22/09,12/22/10,0,3,Democrat,-0.248,0,0,0,D,NULL,NULL,0,0,0.7554919,2.858373,3.34957,4.013371,3.239234,8.7
2008,4785,UT,0,Utah,0,B000382,1/3/11,Robert,Bennett,Mormon,,,,1,,,,0,0,8634,49307,1280,300007,110,M,sen,1/4/05,12/22/10,0,3,Republican,0.349,0,1,0,R,NULL,NULL,0,1,0.8885449,2.968847,3.681114,3.130031,2.674121,3.5
2006,2743,UT,0,Utah,0,B000382,1/3/11,Robert,Bennett,Mormon,,,,1,,,,0,0,8633,49307,1280,300007,109,M,sen,1/4/05,12/22/10,0,3,Republican,0.346,0,0,0,R,NULL,NULL,0,0,0.8848315,2.688385,3.360795,2.269886,2.481482,2.9
2010,4805,UT,1,Utah,2,B000382,1/3/11,Robert,Bennett,Mormon,,,,1,,,,0,0,8635,49307,1280,300007,111,M,sen,1/4/05,12/22/10,0,3,Republican,0.352,0,1,0,R,NULL,NULL,0,1,0.8622449,3.102041,3.589286,3.091837,2.688776,8.2
2008,4785,DE,0,Delaware,0,B000444,1/15/09,Joseph,Biden,Catholic,,,,,,,1,0,0,9656,14101,1284,300008,110,M,sen,1/7/03,1/3/09,0,2,Democrat,-0.284,1,0,0,D,NULL,NULL,1,0,0.736,3.176,3.48,3.944,3.180328,5
2006,2743,DE,1,Delaware,0,B000444,1/15/09,Joseph,Biden,Catholic,,,,,,,1,0,0,9655,14101,1284,300008,109,M,sen,1/7/03,1/3/09,0,2,Democrat,-0.292,0,1,0,D,NULL,NULL,0,1,0.7981651,2.853211,3.4,2.752294,2.805556,3.5
2008,4785,NM,4,New Mexico,1,B000468,1/3/13,Jeff,Bingaman,Methodist,,,,,,1,,0,0,10291,14912,1285,300009,110,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.34,1,0,0,D,NULL,NULL,1,0,0.6615385,3.184615,3.361538,3.723077,3.338521,4.4
2010,4805,NM,9,New Mexico,0,B000468,1/3/13,Jeff,Bingaman,Methodist,,,,,,1,,0,0,10292,14912,1285,300009,111,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.346,1,0,0,D,NULL,NULL,1,0,0.7122642,2.869976,3.337264,3.85849,3.148585,8.5
2012,8481,NM,10,New Mexico,0,B000468,1/3/13,Jeff,Bingaman,Methodist,,,,,,1,,0,0,10290,14912,1285,300009,112,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.353,1,0,0,D,NULL,NULL,1,0,0.7197309,2.773034,3.352809,3.972973,3.444944,7.1
2006,2743,NM,27,New Mexico,0,B000468,1/3/13,Jeff,Bingaman,Methodist,,,,,,1,,0,0,10289,14912,1285,300009,109,M,sen,1/3/01,12/9/06,0,1,Democrat,-0.334,0,1,0,D,NULL,NULL,0,1,0.5482866,3.072327,3.179811,2.889937,2.801262,4.4
2012,8481,CT,16,Connecticut,0,B001277,1/3/23,Richard,Blumenthal,Jew,,,1,,,,,0,0,531,41101,2076,412490,112,M,sen,1/5/11,1/3/17,0,3,Democrat,-0.418,0,0,0,D,NULL,NULL,NULL,NULL,0.8022329,2.5664,3.274322,4.248804,3.995215,8.4
2014,16834,CT,0,Connecticut,0,B001277,1/3/23,Richard,Blumenthal,Jew,,,1,,,,,0,0,11048,41101,2076,412490,113,M,sen,1/5/11,1/3/17,0,3,Democrat,-0.418,0,0,0,D,1,NULL,1,0,0.806354,2.851515,3.290469,4.357035,4.077273,6.6
2014,16834,MO,20,Missouri,1,B000575,1/3/23,Roy,Blunt,Baptist,,,,,,1,,0,0,11049,29735,1464,400034,113,M,sen,1/5/11,1/3/17,0,3,Republican,0.393,0,0,0,R,1,NULL,0,1,0.793582,2.940052,3.511729,3.923611,3.342609,6.4
2012,8481,MO,0,Missouri,2,B000575,1/3/23,Roy,Blunt,Baptist,,,,,,1,,0,0,539,29735,1464,400034,112,M,sen,1/5/11,1/3/17,0,3,Republican,0.393,0,0,0,R,NULL,NULL,0,0,0.8181049,2.801184,3.429661,3.671186,3.123729,6.9
2008,4785,MO,218,Missouri,2,B000611,1/3/11,Christopher,Bond,Presbyterian,,,,,,1,,0,0,8670,15501,1286,300010,110,M,sen,1/4/05,12/22/10,0,3,Republican,0.314,0,1,0,R,NULL,NULL,0,1,0.911007,3.137163,3.4274,3.5726,3.211584,6.1
2006,2743,MO,71,Missouri,0,B000611,1/3/11,Christopher,Bond,Presbyterian,,,,,,1,,0,0,8669,15501,1286,300010,109,M,sen,1/4/05,12/22/10,0,3,Republican,0.311,0,0,0,R,NULL,NULL,0,0,0.8242424,2.924666,3.321739,2.728501,2.591358,4.8
2010,4805,MO,37,Missouri,0,B000611,1/3/11,Christopher,Bond,Presbyterian,,,,,,1,,0,0,8671,15501,1286,300010,111,M,sen,1/4/05,12/22/10,0,3,Republican,0.317,0,1,0,R,NULL,NULL,0,1,0.8347965,2.91207,3.548722,3.581804,2.780527,9.5
2014,16834,NJ,0,New Jersey,1,B001288,1/3/21,Cory,Booker,Baptist,,,,,,1,,1,0,11513,0,2194,412598,113,M,sen,10/31/13,1/3/15,0,2,Democrat,-0.37,0,0,0,D,1,NULL,NULL,NULL,0.7123724,2.778489,3.23852,4.265515,4.005762,6.7
2012,8481,AR,0,Arkansas,0,B001236,1/3/23,John,Boozman,Baptist,,,,,,1,,0,0,556,20101,1687,400040,112,M,sen,1/5/11,1/3/17,0,3,Republican,0.448,0,0,0,R,NULL,NULL,0,0,0.7971311,2.883197,3.612705,3.448771,2.717213,7.6
2014,16834,AR,26,Arkansas,0,B001236,1/3/23,John,Boozman,Baptist,,,,,,1,,0,0,11051,20101,1687,400040,113,M,sen,1/5/11,1/3/17,0,3,Republican,0.448,0,0,0,R,1,NULL,0,1,0.7630522,3.056225,3.608434,3.615694,2.836694,6
2014,16834,CA,2,California,2,B000711,1/3/17,Barbara,Boxer,Jew,,,1,,,,,0,0,11054,15011,116,300011,113,F,sen,1/5/11,1/3/17,0,3,Democrat,-0.485,0,0,0,D,1,NULL,1,0,0.5848522,2.65516,3.079362,4.299788,4.094697,7.5
2010,4805,CA,13,California,1,B000711,1/3/17,Barbara,Boxer,Jew,,,1,,,,,0,0,579,15011,116,300011,111,F,sen,1/4/05,12/22/10,0,3,Democrat,-0.488,1,0,0,D,NULL,NULL,1,0,0.6014429,2.697146,3.206411,4.064635,3.568987,12.2
2012,8481,CA,0,California,0,B000711,1/3/17,Barbara,Boxer,Jew,,,1,,,,,0,0,580,15011,116,300011,112,F,sen,1/5/11,1/3/17,0,3,Democrat,-0.485,1,0,0,D,NULL,NULL,1,0,0.5933979,2.535192,3.184877,4.210682,3.825346,10.4
2008,4785,CA,38,California,8,B000711,1/3/17,Barbara,Boxer,Jew,,,1,,,,,0,0,578,15011,116,300011,110,F,sen,1/4/05,12/22/10,0,3,Democrat,-0.49,1,0,0,D,NULL,NULL,1,0,0.6930866,3.305381,3.17912,4.114295,4.099006,7.1
2006,2743,CA,57,California,2,B000711,1/3/17,Barbara,Boxer,Jew,,,1,,,,,0,0,577,15011,116,300011,109,F,sen,1/4/05,12/22/10,0,3,Democrat,-0.492,0,0,0,D,NULL,NULL,0,0,0.6153423,3.083241,3.093873,3.069722,3.116383,4.8
2012,8481,MA,26,Massachusetts,0,B001268,1/3/13,Scott,BrownS,Protestant,,,,,,1,,0,0,10398,40913,1975,412384,112,M,sen,2/4/10,1/3/13,0,1,Republican,0.096,0,0,0,R,NULL,NULL,0,0,0.8172324,2.429442,3.027923,4.384481,4.116725,6.7
2010,4805,MA,21,Massachusetts,0,B001268,1/3/13,Scott,BrownS,Protestant,,,,,,1,,0,0,10399,40913,1975,412384,111,M,sen,2/4/10,1/3/13,0,1,Republican,0.096,0,0,0,R,NULL,NULL,0,0,0.8251207,2.71969,3.115942,4.225121,3.912077,8.5
2012,8481,OH,127,Ohio,1,B000944,1/3/19,Sherrod,Brown,Lutheran,,,,,,1,,0,0,8,29389,136,400050,112,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.501,0,0,0,D,NULL,NULL,0,0,0.810025,2.667001,3.384847,3.876382,3.17328,7.2
2010,4805,OH,0,Ohio,0,B000944,1/3/19,Sherrod,Brown,Lutheran,,,,,,1,,0,0,10,29389,136,400050,111,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.501,0,0,0,D,NULL,NULL,0,0,0.8373848,2.898071,3.446309,3.707879,3.07083,10.1
2014,16834,OH,0,Ohio,0,B000944,1/3/19,Sherrod,Brown,Lutheran,,,,,,1,,0,0,10976,29389,136,400050,113,M,sen,1/3/13,1/3/19,0,1,Democrat,-0.501,0,0,0,D,1,NULL,1,0,0.8140293,2.927696,3.414525,3.993878,3.474286,5.6
