bioguide,state,end_last_term,first,last,AA,Hisp
A000014,HI,3/1/10,Neil,Abercrombie,,
A000355,MI,1/3/01,Spencer,Abraham,,
A000374,LA,1/3/19,Ralph,Abraham,,
A000359,PR,1/3/05,Anbal,Acevedo-Vil,,1
A000022,NY,1/3/13,Gary,Ackerman,,
A000366,FL,1/3/13,Sandy,Adams,,
A000370,NC,1/3/19,Alma,Adams,1,
A000055,AL,1/3/19,Robert,Aderholt,,
A000364,NJ,1/3/11,John,Adler,,
A000371,CA,1/3/19,Pete,Aguilar,,1
A000069,HI,1/3/13,Daniel,Akaka,,
A000358,MO,1/3/13,W.,Akin,,
A000361,LA,9/27/13,Rodney,Alexander,,
A000360,TN,1/3/21,Lamar,Alexander,,
A000109,CO,1/3/09,Wayne,Allard,,
A000121,VA,1/3/07,George,Allen,,
A000357,ME,1/3/09,Thomas,Allen,,
A000372,GA,1/3/19,Rick,Allen,,
A000362,PA,1/3/13,Jason,Altmire,,
A000367,MI,1/3/19,Justin,Amash,,
R000600,AS,1/3/19,Aumua,Amata,,
A000369,NV,1/3/19,Mark,Amodei,,
A000209,TX,1/3/95,Michael,Andrews,,
A000211,ME,1/3/95,Thomas,Andrews,,
A000210,NJ,2/18/14,Robert,Andrews,,
A000214,OH,1/3/95,Douglas,Applegate,,
A000215,TX,1/3/01,Bill,Archer,,
A000363,NY,1/3/11,Michael,Arcuri,,
A000217,TX,1/3/03,Richard,Armey,,
A000375,TX,1/3/19,Jodey,Arrington,,
A000356,MO,1/3/01,John,Ashcroft,,
A000373,NE,1/3/17,Brad,Ashford,,
A000224,WI,1/20/93,Leslie,Aspin,,
A000365,OH,1/3/13,Steve,Austria,,
A000368,NH,1/3/17,Kelly,Ayotte,,
B001291,TX,1/3/19,Brian,Babin,,
B001234,CA,1/3/13,Joe,Baca,,1
B000008,FL,1/3/95,James,Bacchus,,
B001256,MN,1/3/15,Michele,Bachmann,,
B000013,AL,1/3/15,Spencer,Bachus,,
B001298,NE,1/3/19,Don,Bacon,,
B000028,KY,1/3/99,Henry,Baesler,,
B001229,WA,1/3/11,Brian,Baird,,
B000078,CA,1/3/97,William,Baker,,
B000072,LA,2/2/08,Richard,Baker,,
B000081,ME,1/3/03,John,Baldacci,,
B001230,WI,1/3/19,Tammy,Baldwin,,
B001238,NC,6/11/04,Frank,Ballance,1,
B000104,NC,1/3/05,Cass,Ballenger,,
B001299,IN,1/3/19,Jim,Banks,,
B001279,AZ,1/3/15,Ron,Barber,,
B001226,WI,1/3/95,Peter,Barca,,
B000134,MI,1/3/03,James,Barcia,,
B001237,MN,1/3/03,Dean,Barkley,,
B001269,PA,1/3/19,Lou,Barletta,,
B000151,KY,1/3/95,Thomas,Barlow,,
B000169,GA,1/3/03,Bob,Barr,,
B001282,KY,1/3/19,Garland,Barr,,
B001300,CA,1/3/19,Nanette,Barragn,,1
B001261,WY,1/3/19,John,Barrasso,,
B000179,NE,1/3/01,Bill,Barrett,,
B000177,WI,1/3/03,Thomas,Barrett,,
B001239,SC,1/3/11,James,Barrett,,
B001252,GA,1/3/15,John,Barrow,,
B000208,MD,1/3/13,Roscoe,Bartlett,,
B000213,TX,1/3/19,Joe,Barton,,
B000220,NH,1/3/13,Charles,Bass,,
B001270,CA,1/3/19,Karen,Bass,1,
B000229,VA,9/11/00,Herbert,Bateman,,
B000243,MT,2/6/14,Max,Baucus,,
B001233,IN,1/3/11,Evan,Bayh,,
B001253,IL,1/3/11,Melissa,Bean,,
B001281,OH,1/3/19,Joyce,Beatty,1,
B001240,CO,1/3/07,Bob,Beauprez,,
B000287,CA,1/24/17,Xavier,Becerra,,1
B001265,AK,1/3/15,Mark,Begich,,
B000318,CA,1/3/97,Anthony,Beilenson,,
B001241,TX,1/3/05,Chris,Bell,,
B001271,MI,1/3/17,Dan,Benishek,,
B001267,CO,1/3/23,Michael,Bennet,,
B000382,UT,1/3/11,Robert,Bennett,,
B001280,MI,1/3/15,Kerry,Bentivolio,,
B000392,MD,1/3/95,Helen,Bentley,,
B000401,TX,12/31/93,Lloyd,Bentsen,,
B000400,TX,1/3/03,Ken,Bentsen,,
B001287,CA,1/3/19,Ami,Bera,,
B000403,NE,8/31/04,Douglas,Bereuter,,
B001272,ND,1/3/13,Rick,Berg,,
B001301,MI,1/3/19,Jack,Bergman,,
B001231,NV,1/3/13,Shelley,Berkley,,
B000410,CA,1/3/13,Howard,Berman,,
B000420,AR,1/3/11,Robert,Berry,,
B000431,AL,1/3/97,Tom,Bevill,,
B001292,VA,1/3/19,Donald,Beyer,,
B000444,DE,1/15/09,Joseph,Biden,,
B001232,IL,1/3/13,Judy,Biggert,,
B001302,AZ,1/3/19,Andy,Biggs,,
B000462,NV,1/3/95,James,Bilbray,,
B000461,CA,1/3/13,Brian,Bilbray,,
B000463,FL,1/3/07,Michael,Bilirakis,,
B001257,FL,1/3/19,Gus,Bilirakis,,
B000468,NM,1/3/13,Jeff,Bingaman,,
B001242,NY,1/3/15,Timothy,Bishop,,
B001250,UT,1/3/19,Rob,Bishop,,
B000490,GA,1/3/19,Sanford,Bishop,1,
B001293,MI,1/3/19,Mike,Bishop,,
B001273,TN,1/3/19,Diane,Black,,
B001243,TN,1/3/19,Marsha,Blackburn,,
B000517,PA,1/3/95,Lucien,Blackwell,1,
B000518,IL,1/3/03,Rod,Blagojevich,,
B000556,VA,1/3/01,Tom,Bliley,,
B001294,IA,1/3/19,Rod,Blum,,
B000574,OR,1/3/19,Earl,Blumenauer,,
B001277,CT,1/3/23,Richard,Blumenthal,,
B000575,MO,1/3/23,Roy,Blunt,,
B001303,DE,1/3/19,Lisa,Blunt Rochester,1,
B000576,MA,1/3/97,Peter,Blute,,
B001263,OH,1/3/11,John,Boccieri,,
B000586,NY,1/3/07,Sherwood,Boehlert,,
B000589,OH,10/31/15,John,Boehner,,
B001278,OR,1/3/19,Suzanne,Bonamici,,
B000611,MO,1/3/11,Christopher,Bond,,
B000617,TX,1/3/07,Henry,Bonilla,,1
B000619,MI,1/3/03,David,Bonior,,
B001244,AL,8/2/13,Jo,Bonner,,
B000622,CA,1/5/98,Sonny,Bono,,
B001228,CA,1/3/13,Mary,Bono Mack,,
B001288,NJ,1/3/21,Cory,Booker,1,
B001236,AR,1/3/23,John,Boozman,,
B001245,GU,1/3/19,Madeleine,Bordallo,,
B000639,OK,1/3/95,David,Boren,,
B001254,OK,1/3/13,Dan,Boren,,
B000644,PA,1/3/03,Robert,Borski,,
B001295,IL,1/3/19,Mike,Bost,,
B000652,IA,1/3/13,Leonard,Boswell,,
B000657,VA,1/3/11,Frederick,Boucher,,
B001255,LA,1/3/17,Charles,Boustany,,
B000711,CA,1/3/17,Barbara,Boxer,,
B000716,FL,1/3/11,Allen,Boyd,,
B001258,KS,1/3/09,Nancy,Boyda,,
B001296,PA,1/3/19,Brendan,Boyle,,
B001225,NJ,1/3/97,William,Bradley,,
B001246,NH,1/3/07,Jeb,Bradley,,
B000755,TX,1/3/19,Kevin,Brady,,
B001227,PA,1/3/19,Robert,Brady,,
B001259,IA,1/3/15,Bruce,Braley,,
B001290,VA,1/3/19,David,Brat,,
B000780,LA,1/3/05,John,Breaux,,
B000817,OK,1/3/97,William,Brewster,,
B001283,OK,1/3/19,Jim,Bridenstine,,
B001264,AL,1/3/11,Bobby,Bright,,
B000880,TX,1/3/95,Jack,Brooks,,
B001274,AL,1/3/19,Mo,Brooks,,
B001284,IN,1/3/19,Susan,Brooks,,
B001262,GA,1/3/15,Paul,Broun,,
B000897,AL,1/3/97,John,Browder,,
B000919,CO,1/3/97,George,Brown,,
B000918,CA,7/15/99,George,Brown,,
B001235,SC,1/3/11,Henry,Brown,,
B001268,MA,1/3/13,Scott,Brown,,
B000911,FL,1/3/17,Corrine,Brown,1,
B000944,OH,1/3/19,Sherrod,Brown,,
B001304,MD,1/3/19,Anthony,Brown,1,
B000953,KS,1/3/11,Samuel,Brownback,,
B001285,CA,1/3/19,Julia,Brownley,,
B001247,FL,1/3/11,Virginia,Brown-Waite,,
B000993,NV,1/3/01,Richard,Bryan,,
B000997,TX,1/3/97,John,Bryant,,
B000996,TN,1/3/03,Ed,Bryant,,
B001260,FL,1/3/19,Vern,Buchanan,,
B001297,CO,1/3/19,Ken,Buck,,
B001275,IN,1/3/19,Larry,Bucshon,,
B001305,NC,1/3/19,Ted,Budd,,
B001276,NY,1/3/13,Ann Marie,Buerkle,,
B001057,AR,1/3/99,Dale,Bumpers,,
B001063,OR,1/3/97,Jim,Bunn,,
B001066,KY,1/3/11,Jim,Bunning,,
B001248,TX,1/3/19,Michael,Burgess,,
B001126,MT,1/3/07,Conrad,Burns,,
B001249,GA,1/3/05,Max,Burns,,
B001135,NC,1/3/23,Richard,Burr,,
B001266,IL,11/29/10,Roland,Burris,1,
B001149,IN,1/3/13,Dan,Burton,,
B001286,IL,1/3/19,Cheri,Bustos,,
B001251,NC,1/3/19,George,Butterfield,1,
B001203,IN,1/3/11,Stephen,Buyer,,
B001210,WV,6/28/10,Robert,Byrd,,
B001213,VA,1/3/95,Leslie,Byrne,,
B001289,AL,1/3/19,Bradley,Byrne,,
C000052,AL,1/3/03,H.,Callahan,,
C000059,CA,1/3/19,Ken,Calvert,,
C000071,MI,1/3/15,Dave,Camp,,
C000077,CO,1/3/05,Ben,Campbell,,
C000100,CA,1/3/01,Tom,Campbell,,
C001064,CA,1/3/15,John,Campbell,,
C000107,FL,1/3/01,Charles,Canady,,
C000116,UT,1/3/09,Christopher,Cannon,,
C001082,TX,1/3/13,Francisco,Canseco,,1
C001046,VA,8/18/14,Eric,Cantor,,
C000127,WA,1/3/19,Maria,Cantwell,,
C001079,LA,1/3/11,Anh,Cao,,
C001047,WV,1/3/21,Shelley,Capito,,
C000134,CA,10/28/97,Walter,Capps,,
C001036,CA,1/3/17,Lois,Capps,,
C001037,MA,1/3/19,Michael,Capuano,,
C001112,CA,1/3/19,Salud,Carbajal,,1
C000141,MD,1/3/19,Benjamin,Cardin,,
C001050,CA,8/15/12,Dennis,Cardoza,,
C001043,MO,1/3/03,Jean,Carnahan,,
C001060,MO,1/3/13,Russ,Carnahan,,
C001065,PA,1/3/11,Christopher,Carney,,
C001083,DE,1/3/17,John,Carney,,
C000174,DE,1/3/19,Thomas,Carper,,
C000178,MI,1/3/95,Milton,Carr,,
C001044,OK,1/3/05,Brad,Carson,,
C000191,IN,12/15/07,Julia,Carson,1,
C001072,IN,1/3/19,Andr,Carson,1,
C001051,TX,1/3/19,John,Carter,,
C001103,GA,1/3/19,Buddy,Carter,,
C001090,PA,1/3/19,Matthew,Cartwright,,
C001055,HI,1/3/07,Ed,Case,,
C001070,PA,1/3/19,Robert,Casey,,
C001075,LA,1/3/21,Bill,Cassidy,,
C000243,DE,1/3/11,Michael,Castle,,
C001066,FL,1/3/19,Kathy,Castor,,
C001091,TX,1/3/19,Joaquin,Castro,,1
C001073,LA,1/3/09,Donald,Cazayoux,,
C000266,OH,1/3/19,Steve,Chabot,,
C000269,RI,10/24/99,John,Chafee,,
C001040,RI,1/3/07,Lincoln,Chafee,,
C001076,UT,1/3/19,Jason,Chaffetz,,
C000286,GA,1/3/15,Saxby,Chambliss,,
C001058,KY,1/3/13,Ben,Chandler,,
C000312,TX,1/3/97,Jim,Chapman,,
C001109,WY,1/3/19,Liz,Cheney,,
C000345,ID,1/3/01,Helen,Chenoweth-Hage,,
C001100,NJ,10/31/13,Jeffrey,Chiesa,,
C001074,MS,1/3/11,Travis,Childers,,
C001052,IN,1/3/07,Chris,Chocola,,
C000377,NE,1/3/99,Jon,Christensen,,
C000380,VI,1/3/15,Donna,Christensen,1,
C000385,MI,1/3/97,Dick,Chrysler,,
C001080,CA,1/3/19,Judy,Chu,,
C001084,RI,1/3/19,David,Cicilline,,
C001101,MA,1/3/19,Katherine,Clark,,
C001085,MI,1/3/13,Hansen,Clarke,1,
C001067,NY,1/3/19,Yvette,Clarke,1,
C001102,FL,1/3/17,Curtis,Clawson,,
C000488,MO,1/3/01,William,Clay,1,
C001049,MO,1/3/19,Wm.,Clay,1,
C000494,NC,1/3/03,Eva,Clayton,1,
C001061,MO,1/3/19,Emanuel,Cleaver,1,
C001034,GA,1/3/03,J.,Cleland,,
C000503,TN,1/3/03,Robert,Clement,,
C000523,PA,1/3/97,William,Clinger,,
C001041,NY,1/21/09,Hillary,Clinton,,
C000537,SC,1/3/19,James,Clyburn,1,
C000542,IN,1/3/17,Daniel,Coats,,
C000556,NC,1/3/15,Howard,Coble,,
C000560,OK,1/3/15,Thomas,Coburn,,
C000567,MS,1/3/21,Thad,Cochran,,
C001077,CO,1/3/19,Mike,Coffman,,
C000598,ME,1/3/97,William,Cohen,,
C001068,TN,1/3/19,Steve,Cohen,,
C001053,OK,1/3/19,Tom,Cole,,
C000621,TX,1/3/97,Ronald,Coleman,,
C001057,MN,1/3/09,Norm,Coleman,,
C000633,MI,1/3/97,Barbara-Rose,Collins,1,
C000634,IL,1/3/97,Cardiss,Collins,1,
C000640,GA,1/3/05,Michael,Collins,,
C001035,ME,1/3/21,Susan,Collins,,
C001093,GA,1/3/19,Doug,Collins,,
C001092,NY,1/3/19,Chris,Collins,,
C000653,TX,5/31/03,Larry,Combest,,
C001108,KY,1/3/19,James,Comer,,
C001105,VA,1/3/19,Barbara,Comstock,,
C001062,TX,1/3/19,K.,Conaway,,
C000670,CA,1/3/03,Gary,Condit,,
C001078,VA,1/3/19,Gerald,Connolly,,
C000705,ND,1/3/13,Kent,Conrad,,
C000714,MI,1/3/19,John,Conyers,1,
C000722,UT,1/3/01,Merrill,Cook,,
C001094,CA,1/3/19,Paul,Cook,,
C000735,LA,1/3/03,John,Cooksey,,
C000737,OR,1/3/97,Wes,Cooley,,
C001088,DE,1/3/21,Chris,Coons,,
C000754,TN,1/3/19,Jim,Cooper,,
C000767,AZ,1/3/95,Samuel,Coppersmith,,
C001071,TN,1/3/19,Bob,Corker,,
C001056,TX,1/3/21,John,Cornyn,,
C001110,CA,1/3/19,J.,Correa,,1
C001113,NV,1/3/23,Catherine,Cortez Masto,,1
C001042,NJ,1/17/06,Jon,Corzine,,
C001059,CA,1/3/19,Jim,Costa,,
C000794,IL,1/3/13,Jerry,Costello,,
C001106,PA,1/3/19,Ryan,Costello,,
C001095,AR,1/3/21,Tom,Cotton,,
C001069,CT,1/3/19,Joe,Courtney,,
C000813,GA,1/3/01,Paul,Coverdell,,
C001099,MA,7/16/13,William,Cowan,1,
C000830,CA,8/2/05,C.,Cox,,
C000846,PA,1/3/03,William,Coyne,,
C000858,ID,1/3/09,Larry,Craig,,
C000868,AL,1/3/09,Robert,Cramer,,
C001096,ND,1/3/19,Kevin,Cramer,,
C000873,IL,1/3/05,Philip,Crane,,
C000880,ID,1/3/23,Michael,Crapo,,
C001086,MN,1/3/13,Chip,Cravaack,,
C001087,AR,1/3/19,Eric,Crawford,,
C001097,CA,1/3/19,Tony,Crdenas,,1
C000903,OH,1/3/97,Frank,Cremeans,,
C001045,FL,1/3/17,Ander,Crenshaw,,
C001111,FL,1/3/19,Charlie,Crist,,
C001081,PA,1/3/13,Mark,Critz,,
C001038,NY,1/3/19,Joseph,Crowley,,
C001098,TX,1/3/19,Ted,Cruz,,1
C000962,WY,1/3/09,Barbara,Cubin,,
C001063,TX,1/3/19,Henry,Cuellar,,1
C001048,TX,1/3/19,John,Culberson,,
C000984,MD,1/3/19,Elijah,Cummings,1,
C000994,CA,12/1/05,Randall,Cunningham,,
C001107,FL,1/3/19,Carlos,Curbelo,,1
C001089,MI,1/3/13,David,Curson,,
D000608,PA,1/3/11,Kathleen,Dahlkemper,,
D000618,MT,1/3/21,Steve,Daines,,
D000018,NY,1/3/99,Alfonse,D'Amato,,
D000030,MO,1/3/95,John,Danforth,,
D000046,MO,1/3/01,Pat,Danner,,
D000051,GA,1/3/95,George,Darden,,
D000064,SD,1/3/05,Thomas,Daschle,,
D000626,OH,1/3/19,Warren,Davidson,,
D000114,FL,1/3/07,James,Davis,,
D000606,TN,1/3/09,David,Davis,,
D000597,VA,10/6/07,Jo Ann,Davis,,
D000136,VA,11/24/08,Thomas,Davis,,
D000602,AL,1/3/11,Artur,Davis,1,
D000599,TN,1/3/11,Lincoln,Davis,,
D000603,KY,7/31/12,Geoff,Davis,,
D000096,IL,1/3/19,Danny,Davis,1,
D000598,CA,1/3/19,Susan,Davis,,
D000619,IL,1/3/19,Rodney,Davis,,
D000596,MN,1/3/07,Mark,Dayton,,
D000203,TX,1/3/97,Eligio,de la Garza,,1
D000209,VI,1/3/95,Ron,de Lugo,,1
D000168,GA,3/22/10,Nathan,Deal,,
D000185,AZ,1/3/95,Dennis,DeConcini,,
D000191,OR,1/3/19,Peter,DeFazio,,
D000197,CO,1/3/19,Diana,DeGette,,
D000210,MA,1/3/11,William,Delahunt,,
D000620,MD,1/3/19,John,Delaney,,
D000216,CT,1/3/19,Rosa,DeLauro,,
D000217,TX,6/9/06,Thomas,DeLay,,
D000617,WA,1/3/19,Suzan,DelBene,,
D000222,CA,2/7/98,Ronald,Dellums,1,
D000627,FL,1/3/19,Val,Demings,1,
D000595,SC,1/1/13,Jim,DeMint,,
D000612,CA,1/3/19,Jeff,Denham,,
D000604,PA,1/3/19,Charles,Dent,,
D000267,SC,1/3/95,Butler,Derrick,,
D000621,FL,1/3/19,Ron,DeSantis,,1
D000623,CA,1/3/19,Mark,DeSaulnier,,
D000616,TN,1/3/19,Scott,DesJarlais,,
D000610,FL,1/3/19,Theodore,Deutch,,
D000275,FL,1/3/05,Peter,Deutsch,,
D000294,OH,1/3/07,Michael,DeWine,,
D000299,FL,1/3/11,Lincoln,Diaz-Balart,,1
D000600,FL,1/3/19,Mario,Diaz-Balart,,1
D000312,AR,1/3/01,Jay,Dickey,,
D000327,WA,1/3/13,Norman,Dicks,,
D000355,MI,1/3/15,John,Dingell,,
D000624,MI,1/3/19,Debbie,Dingell,,
D000373,CA,1/3/01,Julian,Dixon,1,
D000611,HI,1/3/11,Charles,Djou,,
D000388,CT,1/3/11,Christopher,Dodd,,
D000399,TX,1/3/19,Lloyd,Doggett,,
D000613,IL,1/3/17,Bob,Dold,,
D000401,KS,6/11/96,Robert,Dole,,
D000601,NC,1/3/09,Elizabeth,Dole,,
D000407,NM,1/3/09,Pete,Domenici,,
D000607,IN,1/3/19,Joe,Donnelly,,
