"","URLs","year","IslamWords","totals","anxioutyWords","chappwords","DHSWords","ReligLWICwords","optwords","frequency_anxiouty","frequency_chapp","frequency_religLWIC","frequency_reli_Lwicnoislam","frequency_dhs","frequency_islam","frequency_opt","state","globalterrorism","abbr","femadec","terroristattack","bioguide","end_last_term","first","last","religion","unafilated","other","jew","mormon","othodoxchristain","protestantdemonation","catholic","aa","hisp","id","icpsr","thomas","govtrack","cong","gender","type","start","end","district","class","party","dw1","comc","comr","leadcham","simpleparty","dwisest","manualcorrection","scomc","scomr","percentwhite","pres2","veryconservative","don'tattendchurch","don'tpray","unemploy","nonwhite","abrvState","catholic_state","jewish_state","evang_state","orthodox_state","bkprot_state","mainline_state","conservative.non.traditional_state","liberal.protestant_state","secular_state","veryReligous","upforElection","Female","Republican","frequency_chapp_lag1","frequency_religLWIC_lag1","frequency_anxiouty_lag1","frequency_opt_lag1","terroristattack_lag1","frequency_dhs_lag1","femadec_lag1","upforElection_lag1"
"akaka-2008","akaka","2008",24,2900678,3059,1711,13682,1824,5962,0.00105458203243449,0.000589863094310365,0.000628819503811867,-8.2727108984507e-06,0.00471682927256248,8.2749276817351e-06,0.00205538253493769,"Hawaii",4785,"HI",3,0,"A000069","1/3/13","Daniel","Akaka","Congregationalist",0,0,0,0,0,1,0,0,0,10276,"14400",7,300001,110,"M","sen","1/4/07","1/3/13",0,1,"Democrat",-0.447,1,0,0,"D","NULL","NULL","1","0",0.4673913,3.141304,3.26087,4.315217,4.728261,4.2,0,"hi",21.00468445,0,5.84563303,0,0.631638408,4.308315277,3.45623517,0.018407747,64.73409271,0.47,0,0,0,0.000811362111498639,0.000818704745991839,0.00102209572145349,0.00198398084006274,0,0.00529220481097416,7,1
"akaka-2010","akaka","2010",0,353918,110,123,1066,110,628,0.000310807457993094,0.000347539130301369,0.000310807457993094,1.8781877666383e-09,0.00301199812927853,1e-09,0.00177442332381512,"Hawaii",4805,"HI",1,0,"A000069","1/3/13","Daniel","Akaka","Congregationalist",0,0,0,0,0,1,0,0,0,10277,"14400",7,300001,111,"M","sen","1/4/07","1/3/13",0,1,"Democrat",-0.453,1,0,0,"D","NULL","NULL","1","0",0.4883721,2.622093,3.267442,4.331395,3.761628,7,0,"hi",21.00468445,0,5.84563303,0,0.631638408,4.308315277,3.45623517,0.018407747,64.73409271,0.47,0,0,0,0.000589863094310365,0.000628819503811867,0.00105458203243449,0.00205538253493769,0,0.00471682927256248,3,0
"akaka-2012","akaka","2012",111,69104371,80232,9227,116582,9800,231209,0.00116102741322066,0.000133523668197067,0.000141815473645958,-1.60526392483229e-06,0.0016870433435299,1.60726597701034e-06,0.00334579514665391,"Hawaii",8481,"HI",2,0,"A000069","1/3/13","Daniel","Akaka","Congregationalist",0,0,0,0,0,1,0,0,0,10275,"14400",7,300001,112,"M","sen","1/4/07","1/3/13",0,1,"Democrat",-0.458,1,0,0,"D","NULL","NULL","1","0",0.4946809,2.484043,3.340425,4.395722,3.84492,6,0,"hi",21.00468445,0,5.84563303,0,0.631638408,4.308315277,3.45623517,0.018407747,64.73409271,0.47,1,0,0,0.000347539130301369,0.000310807457993094,0.000310807457993094,0.00177442332381512,0,0.00301199812927853,1,0
"alexander-2008","alexander","2008",197,12458313,4391,5478,40339,7355,32067,0.000352456424743302,0.000439707403266638,0.000590369856521746,-1.58116874506318e-05,0.00323791932810751,1.58137348381759e-05,0.00257394500028318,"Tennessee",4785,"TN",19,2,"A000360","1/3/21","Lamar","Alexander","Presbyterian",0,0,0,0,0,1,0,0,0,145,"40304",1695,300002,110,"M","sen","1/7/03","1/3/09",0,2,"Republican",0.323,0,0,0,"R","NULL","NULL","0","0",0.8774885,3.065951,3.689127,3.242703,2.956857,6.6,0,"tn",2.813159704,0.245446771,40.63577652,0,5.746162891,11.27584839,0.320574254,0.051812675,38.79838562,0.73,1,0,1,0.000715551502532254,0.00104720348148371,0.000296443351049077,0.00286826058052082,0,0.00407295989219153,15,0
"alexander-2010","alexander","2010",46,4268476,3113,2473,10726,2173,9370,0.000729301106173726,0.000579364688585809,0.000509081992841473,-1.07755607488497e-05,0.00251284164851249,1.07776800141315e-05,0.00219516386374809,"Tennessee",4805,"TN",59,0,"A000360","1/3/21","Lamar","Alexander","Presbyterian",0,0,0,0,0,1,0,0,0,147,"40304",1695,300002,111,"M","sen","1/6/09","1/3/15",0,2,"Republican",0.309,0,0,0,"R","NULL","NULL","0","0",0.811789,3.039297,3.675284,3.301965,2.571872,9.4,0,"tn",2.813159704,0.245446771,40.63577652,0,5.746162891,11.27584839,0.320574254,0.051812675,38.79838562,0.73,0,0,1,0.000439707403266638,0.000590369856521746,0.000352456424743302,0.00257394500028318,2,0.00323791932810751,19,1
"alexander-2012","alexander","2012",15,2100160,1356,951,3958,980,4436,0.000645666092183453,0.000452823642084413,0.000466632113819899,-7.14109077826746e-06,0.00188461931479506,7.14331296663111e-06,0.00211222102133171,"Tennessee",8481,"TN",10,0,"A000360","1/3/21","Lamar","Alexander","Presbyterian",0,0,0,0,0,1,0,0,0,146,"40304",1695,300002,112,"M","sen","1/6/09","1/3/15",0,2,"Republican",0.294,0,1,0,"R","NULL","NULL","0","1",0.8037915,2.872986,3.643264,3.57075,2.816714,7.8,0,"tn",2.813159704,0.245446771,40.63577652,0,5.746162891,11.27584839,0.320574254,0.051812675,38.79838562,0.73,0,0,1,0.000579364688585809,0.000509081992841473,0.000729301106173726,0.00219516386374809,0,0.00251284164851249,59,0
"allard-2008","allard","2008",89,4397457,2888,2069,14670,2439,14117,0.000656744204083633,0.000470500199878475,0.000554639737797777,-2.02378438047859e-05,0.00333601997642205,2.02399699319402e-05,0.00321026547785618,"Colorado",4785,"CO",5,0,"A000109","1/3/09","Wayne","Allard","Protestant",0,0,0,0,0,1,0,0,0,8283,"29108",11,300003,110,"M","sen","1/7/03","1/3/09",0,2,"Republican",0.612,0,0,0,"R","NULL","NULL","0","0",0.8245283,3.183365,3.303774,3.896226,3.394687,4.8,0,"co",14.65799141,1.473715663,11.2502327,0,1.069179893,8.61615181,2.134322643,0.088665776,60.70973969,0.47,1,0,1,0.000414972072195251,0.000541790095490903,0.000685483097692832,0.00359130332905391,0,0.00338036609272545,4,0
"barrasso-2010","barrasso","2010",0,2340338,1522,1309,3910,1512,4831,0.000650334413378751,0.000559321918602356,0.000646061526300047,1.27605436748882e-09,0.00167069984777327,1e-09,0.00206423274772191,"Wyoming",4805,"WY",3,0,"B001261","1/3/19","John","Barrasso","Presbyterian",0,0,0,0,0,1,0,0,0,132,"40707",1881,412251,111,"M","sen","6/25/07","1/3/13",0,1,"Republican",0.583,0,1,0,"R","NULL","NULL","0","1",0.9130435,2.967391,3.48913,3.793478,3.152174,6.6,0,"wy",13.13196087,0.072753251,14.16726208,0,0.134042352,10.07059288,10.09572601,0.030644549,52.29701996,0.54,0,0,1,0.000603899950557824,0.000803708492223869,0.000533817850122718,0.00251848329010411,0,0.00171775801492003,0,0
"barrasso-2012","barrasso","2012",0,2939856,1665,1372,4399,1638,5342,0.000566355270413245,0.000466690524929112,0.000557171147109246,1.18952293823549e-09,0.00149633279312184,1e-09,0.00181709680333186,"Wyoming",8481,"WY",5,0,"B001261","1/3/19","John","Barrasso","Presbyterian",0,0,0,0,0,1,0,0,0,130,"40707",1881,412251,112,"M","sen","6/25/07","1/3/13",0,1,"Republican",0.583,0,1,0,"R","NULL","NULL","0","1",0.8794326,3.099291,3.680851,3.985816,3.248227,5.5,0,"wy",13.13196087,0.072753251,14.16726208,0,0.134042352,10.07059288,10.09572601,0.030644549,52.29701996,0.54,1,0,1,0.000559321918602356,0.000646061526300047,0.000650334413378751,0.00206423274772191,0,0.00167069984777327,3,0
"baucus-2008","baucus","2008",0,415984,227,389,1131,376,975,0.000545695065156352,0.000935133120466172,0.000903881918496865,3.17287424154983e-09,0.00271885557132967,1e-09,0.00234384114769799,"Montana",4785,"MT",4,0,"B000243","2/6/14","Max","Baucus","United Church of Christ",0,0,0,0,0,1,0,0,0,164,"14203",66,300005,110,"M","sen","1/7/03","1/3/09",0,2,"Democrat",-0.201,1,0,0,"D","NULL","NULL","1","0",0.9210526,3.010526,3.615789,3.657895,3.296296,5.2,0,"mt",15.74327469,0.095833384,10.98834229,0,0.053812895,12.2725935,3.58168602,0.027281886,57.29421234,0.48,1,0,0,0.000849931879115253,0.000846518502090693,0.000351578833529603,0.00314372123961907,0,0.00239277829421603,4,0
